"AUDIT TIME","CORES USED","END TIME","ENVIRONMENT","ENVIRONMENT ID","EXECUTION TIME (IN HOURS)","FOLDER NAME","METERED VALUE","OBM TASK TIME(S)","ORG ID","PROJECT NAME","START TIME","STATUS","TASK ID","TASK NAME","TASK OBJECT","TASK RUN ID","TASK TYPE"
"2023-12-19 11:11:20.0","0.0","2023-12-19 11:01:25.0","vg-linux-vm.informatica.com","1QO6mK4AcQFdVOzuNNpsEH","0.0033333333333333335 ","","0.003333","0","80bTjaasFejbEkQynNFnyT","vihasitha_test","2023-12-19 11:01:13.0","ERROR","000QML170000000001B6","Mapping60","","4","MTT_DP"
"2023-12-19 11:11:20.0","0.0","2023-12-19 11:05:58.0","vg-linux-vm.informatica.com","1QO6mK4AcQFdVOzuNNpsEH","0.0033333333333333335 ","","0.003333","0","80bTjaasFejbEkQynNFnyT","vihasitha_test","2023-12-19 11:05:46.0","ERROR","000QML0Z0000000001HQ","Mapping60","","2","MTT_TEST"
"2023-12-19 11:11:20.0","0.0","2023-12-19 10:42:29.0","JJ_Linux_repro","6Jx5PuaV2WIlVSuPKZPjej","0.010277777777777778 ","","0.010278","0","80bTjaasFejbEkQynNFnyT","JJW","2023-12-19 10:41:52.0","SUCCESS","000QML0Z0000000001HH","m_TRN_DI_MQDL_TFCT_CQA","","2","MTT_TEST"
"2023-12-20 06:11:12.0","0.0","2023-12-20 05:56:39.0","JJ_Linux_repro","6Jx5PuaV2WIlVSuPKZPjej","0.015833333333333335 ","Case04589051","0.015833","0","80bTjaasFejbEkQynNFnyT","JJW","2023-12-20 05:55:42.0","ERROR","000QML0Z0000000001HU","m_GBQ_DataLoad","","1","MTT_TEST"
"2023-12-20 06:11:12.0","0.945054945054945","2023-12-20 06:03:14.0","JJ_Linux_repro","6Jx5PuaV2WIlVSuPKZPjej","0.028888888888888888 ","Case04589051","0.028889","0","80bTjaasFejbEkQynNFnyT","JJW","2023-12-20 06:01:30.0","SUCCESS","000QML0Z0000000001HU","m_GBQ_DataLoad","","2","MTT_TEST"
"2023-12-20 07:11:14.0","0.567886422715457","2023-12-20 06:20:36.0","JJ_Linux_repro","6Jx5PuaV2WIlVSuPKZPjej","0.017222222222222222 ","","0.017222","0","80bTjaasFejbEkQynNFnyT","JJW","2023-12-20 06:19:34.0","SUCCESS","000QML0Z0000000001HH","m_TRN_DI_MQDL_TFCT_CQA","","3","MTT_TEST"
"2023-12-20 13:12:47.0","0.0","2023-12-20 12:26:28.0","JJ_Linux_repro","6Jx5PuaV2WIlVSuPKZPjej","0.0033333333333333335 ","Z_DS_Venkata_Rayalla","0.003333","0","80bTjaasFejbEkQynNFnyT","JJW","2023-12-20 12:26:16.0","ERROR","000QML0Z0000000001HM","mt_osvc_ItemNumbers_lnd","","3","MTT"
"2023-12-20 13:12:47.0","0.0","2023-12-20 12:28:37.0","JJ_Linux_repro","6Jx5PuaV2WIlVSuPKZPjej","0.0030555555555555557 ","Z_DS_Venkata_Rayalla","0.003056","0","80bTjaasFejbEkQynNFnyT","JJW","2023-12-20 12:28:26.0","SUCCESS","000QML0Z0000000001HM","mt_osvc_ItemNumbers_lnd","","4","MTT"
"2023-12-20 15:12:02.0","0.0","2023-12-20 15:11:27.0","JJ_Linux_repro","6Jx5PuaV2WIlVSuPKZPjej","0.0011111111111111111 ","Z_DS_Venkata_Rayalla","0.001111","0","80bTjaasFejbEkQynNFnyT","JJW","2023-12-20 15:11:23.0","SUCCESS","000QML0Z0000000001HM","mt_osvc_ItemNumbers_lnd","","5","MTT"
"2023-12-20 16:11:34.0","0.0","2023-12-20 15:15:53.0","JJ_Linux_repro","6Jx5PuaV2WIlVSuPKZPjej","0.0044444444444444444 ","Z_DS_Venkata_Rayalla","0.004444","0","80bTjaasFejbEkQynNFnyT","JJW","2023-12-20 15:15:37.0","SUCCESS","000QML0Z0000000001HM","mt_osvc_ItemNumbers_lnd","","6","MTT"
"2023-12-20 16:11:34.0","0.0","2023-12-20 15:25:35.0","JJ_Linux_repro","6Jx5PuaV2WIlVSuPKZPjej","0.0011111111111111111 ","Z_DS_Venkata_Rayalla","0.001111","0","80bTjaasFejbEkQynNFnyT","JJW","2023-12-20 15:25:31.0","SUCCESS","000QML0Z0000000001HM","mt_osvc_ItemNumbers_lnd","","8","MTT"
"2023-12-20 16:11:34.0","0.0","2023-12-20 15:20:52.0","JJ_Linux_repro","6Jx5PuaV2WIlVSuPKZPjej","0.003611111111111111 ","Z_DS_Venkata_Rayalla","0.003611","0","80bTjaasFejbEkQynNFnyT","JJW","2023-12-20 15:20:39.0","SUCCESS","000QML0Z0000000001HM","mt_osvc_ItemNumbers_lnd","","7","MTT"
"2023-12-21 14:11:59.0","0.521791283486605","2023-12-21 13:29:20.0","vg-linux-vm.informatica.com","1QO6mK4AcQFdVOzuNNpsEH","0.013055555555555556 ","","0.013056","0","80bTjaasFejbEkQynNFnyT","vihasitha_test","2023-12-21 13:28:33.0","SUCCESS","000QML170000000001BA","vgn_redshiftTesting","","1","MTT_DP"
"2023-12-21 14:11:59.0","0.725854829034193","2023-12-21 13:29:59.0","vg-linux-vm.informatica.com","1QO6mK4AcQFdVOzuNNpsEH","0.3902777777777778 ","","0.390278","0","80bTjaasFejbEkQynNFnyT","vihasitha_test","2023-12-21 13:06:34.0","ERROR","000QML0Z0000000001HV","vgn_redshiftTesting","","1","MTT_TEST"
"2023-12-21 15:11:35.0","0.575884823035393","2023-12-21 14:26:34.0","vg-linux-vm.informatica.com","1QO6mK4AcQFdVOzuNNpsEH","0.9155555555555556 ","","0.915556","0","80bTjaasFejbEkQynNFnyT","vihasitha_test","2023-12-21 13:31:38.0","SUCCESS","000QML0Z0000000001HV","vgn_redshiftTesting","","2","MTT_TEST"
"2023-12-22 06:11:14.0","1.039584166333467","2023-12-22 05:51:28.0","vg-linux-vm.informatica.com","1QO6mK4AcQFdVOzuNNpsEH","0.024444444444444446 ","","0.024444","0","80bTjaasFejbEkQynNFnyT","vihasitha_test","2023-12-22 05:50:00.0","ERROR","000QML0Z0000000001HV","vgn_redshiftTesting","","3","MTT_TEST"
"2023-12-22 08:11:14.0","0.629370629370629","2023-12-22 07:31:51.0","vg-linux-vm.informatica.com","1QO6mK4AcQFdVOzuNNpsEH","0.023055555555555555 ","","0.023056","0","80bTjaasFejbEkQynNFnyT","vihasitha_test","2023-12-22 07:30:28.0","ERROR","000QML0Z0000000001HV","vgn_redshiftTesting","","4","MTT_TEST"
